"Ano","Corr_Y_X1","Corr_Y_X2","Corr_Y_X3"
2000,-0.186476365576959,-0.0267039217520135,0.359757339538256
2001,-0.185129195723486,0.0375281424546278,0.334418929585415
2002,-0.212069315513531,-0.0343256638319762,0.353785847118001
2003,-0.150957678171727,-0.0131219702245741,0.267545611941913
2004,-0.189504918530494,0.0153631444521286,0.298480972543567
2005,-0.174366096245697,0.00317314371016444,0.337713433627337
2006,-0.213233697720899,0.0129311394014959,0.120117091266363
2007,-0.207471647705449,0.0260630840979933,0.271421789586046
2008,-0.198426220183584,0.00352156519886148,0.293692979619024
2009,-0.16586098940025,0.153989352309246,0.304528491088306
2010,-0.101380720514741,0.154820074366569,0.235974500896963
2011,-0.0562401644114011,0.12446908858392,0.29884301724791
2012,-0.0319653376018351,0.0758164479145981,0.219797689776775
2013,-0.0497350620240928,0.0797165409933231,0.174886917750408
2014,-0.0308708458520648,0.0717865222197757,0.22329343238525
2015,0.0415902925542028,0.0374372088615262,0.241476634148909
2016,0.0207925077031393,0.0292761681191249,0.214844495809002
2017,-0.000765061688419202,0.080139131717883,0.345184873172857
2018,0.0550817406197022,0.100307813581204,0.274048432295212
2019,0.0501119505545368,0.0808416491253532,0.29784707308826
2020,-0.0388178153613384,0.0989255518055905,0.303836541310688
2021,-0.0325491974539509,0.0821974189709428,0.264452144878524
2022,0.0854778475207981,0.0545170915207907,0.291209826481553
