"Microrregiao","Y_Media","Y_SD","X1_Media","X2_Media","X3_Media"
"BELO_HORIZONTE_NOVA_LIMA_CAETE",266.217391304348,69.6954129974518,0.296108708421117,0.993642924749564,0.107116008239712
"UBERLANDIA_ARAGUARI",73.1739130434783,12.1080445606631,0.1713610413772,0.980500347005342,0.094189144033972
"CONTAGEM",69.5652173913043,18.7539719113204,0.311970796845037,0.988029810617582,0.104291740355185
"JUIZ_DE_FORA_LIMA_DUARTE_BOM_JARDIM_DE_MINAS",62,20.250701446886,0.236833472371606,0.961497367524429,0.109935501758756
"BETIM",58.3478260869565,12.2385705331812,0.310362600958545,0.982370501035957,0.101009312182536
"MONTES_CLAROS_BOCAIUVA",53.304347826087,20.1210762015823,0.370620054611983,0.983580388096844,0.0909849078503406
"MANHUACU",48.6521739130435,21.75819322306,0.310186430759089,0.961978204936676,0.0846862550228213
"GOVERNADOR_VALADARES",45.1304347826087,21.7700886285123,0.4252759319177,0.987866149542355,0.0805301089575719
"TEOFILO_OTONI_MALACACHETA_ITAMBACURI",44.2173913043478,18.0427686893194,0.525722832764658,0.983876992981156,0.0903651064721522
"POUSO_ALEGRE",37.6521739130435,16.9802256534213,0.249434077577511,0.963074462745233,0.0920531980650619
"SETE_LAGOAS",37.5217391304348,11.9425502271857,0.365525288073613,0.892930173708019,0.0956591210183289
"DIVINOPOLIS",36.7391304347826,12.6030926626773,0.264939855607319,0.984583719282391,0.0966014735902369
"UBERABA",34.7826086956522,7.53752142610632,0.283079517200899,0.894997815698938,0.0937564333740987
"UBA",32.7391304347826,16.3962783784623,0.30094864435107,0.987049573713605,0.0902965405365396
"CONSELHEIRO_LAFAIETE_CONGONHAS",31.1304347826087,12.2151334894879,0.289648124934061,0.992322910335404,0.0976170698526706
"BRASILIA_DE_MINAS_SAO_FRANCISCO",30.7826086956522,11.1475905335439,0.455114724763225,0.967253831314961,0.0789941613531301
"CARATINGA",28.3913043478261,12.3241784916509,0.411411457439385,0.985770432102776,0.0847205816049977
"JANAUBA_MONTE_AZUL",26.5217391304348,8.46849544014536,0.352483331649991,0.982630918936434,0.0872991832909752
"ALFENAS_MACHADO",26.3478260869565,13.8222768011779,0.264312147610671,0.98957582699837,0.0937117100891572
"CORONEL_FABRICIANO",25.8695652173913,12.4947419771318,0.369268748525229,0.984040267261466,0.0892599569660845
"IPATINGA",25.7391304347826,6.26111659591706,0.372237459249985,0.979517217178848,0.0838124209318386
